text,timestamp,fecha_legible,emocion,comment_length,word_count,bert_sentiment
"Al ser un tratamiento reparador refiere que debemos utilizar 1 o 2 veces por semana máximo, es como en el skincare, no debemos sobre cargar",1633909432,2021-10-10 18:43:52,testimonio,139,25,neutral
Tengo como 2 años usándola y no me pasa nada de eso que dices 😅,1633902734,2021-10-10 16:52:14,sorpresa,63,15,neutral
Yo cuándo la utilice por primera vez en papeleta el pelo se me veía Super suave y brilloso y la empecé a comprar en potes y ahora tengo el ca,1637731648,2021-11-24 00:27:28,testimonio,141,30,neutral
No puedes hacer eso con una marca tan solo porque a ti no te funciona bien 😑,1634006072,2021-10-11 21:34:32,queja,76,17,negative
Que mascarillas recomiendas entonces COLOMBIA?,1633891051,2021-10-10 13:37:31,consulta,46,5,neutral
Hola la marca Garnier la recomienda el shampoo y la mascarillas,1633890988,2021-10-10 13:36:28,consulta,63,11,neutral
pero es que eso no se usa todos los días en las instrucciones dice una o dos veces por semana 😂😂😂,1633897957,2021-10-10 15:32:37,frustracion,97,21,neutral
"Usar silicona no es realmente malo lo han dicho profesionales, además esa crema solo se echa de medio cabello a puntas. Llevo 2 años usándola",1633908801,2021-10-10 18:33:21,testimonio,141,25,neutral
a mí me queda super suaveee y sin frizz,1633904023,2021-10-10 17:13:43,satisfaccion,39,9,positive
"A mi me crece bárbaro y siempre está brillante y suave, la cuestión es que mis puntas siempre se ven bien maltratadas al punto de como si tuviera",1634708354,2021-10-20 00:39:14,satisfaccion,145,28,neutral
"es lo peor que pude usar, al inicio si genial, lo he usado por mucho tiempo creo que un año o más, pero llegó el momento que se me empezó a caer el",1637891263,2021-11-25 20:47:43,decepcion,147,33,neutral
Uso nutrí ella y le hecho unas gotas de aceite de argan y coco y es TOP. Mucho mejor que otras mascarillas mucho más caras que otras. 😁,1633904774,2021-10-10 17:26:14,satisfaccion,135,28,positive
"desde bebé lo he usado y me sienta genial, tengo el pelo hasta después de las rodillas, esta largo, sano, fuerte abundante y brillante, depende de cada tipo de cabello sus resultados",1745119363,2025-04-19 22:22:43,satisfaccion,182,32,neutral
"esq la mascarilla no se usa a diario, el tratamiento es 1 vez x semana, lonq es diario es el shampoo y acondicionador",1732965012,2024-11-30 06:10:12,testimonio,117,23,neutral
Nutribella es INCREIBLEEE,1711408651,2024-03-25 18:17:31,satisfaccion,25,3,positive
usenlo porque mi cabello se mantenia muy enrredado y ahora es hermoso lo recomiendo muchooo,1730511629,2024-11-01 20:40:29,satisfaccion,91,15,neutral
solo habla de lo malo y nuca deja lo que ella usa por Dio😌,1633902693,2021-10-10 16:51:33,decepcion,58,14,neutral
Para el cabello crespo que recomiendas,1633892070,2021-10-10 13:54:30,consulta,38,6,neutral
todo depende del cabello.,1633889199,2021-10-10 13:06:39,queja,25,4,neutral
a mi me funciona super!!,1633904305,2021-10-10 17:18:25,satisfaccion,24,5,positive
y yo pensé en comprar para ponerme en el cabello....🙄🙄🙄🤦🏻,1633888276,2021-10-10 12:51:16,frustracion,57,10,negative
"si es informativo no deberías d denigrar el producto... no todos los cuerpos funcionan igual, a mí me funciona d maravilla y eso q yo uso plancha diar",1633901875,2021-10-10 16:37:55,frustracion,150,28,neutral
Hola que tal los productos de kaba,1633890925,2021-10-10 13:35:25,consulta,34,7,neutral
A mi para lo único para lo que me sirve es para bajar el frizz 👀,1633891373,2021-10-10 13:42:53,decepcion,64,16,neutral
Yo uso nutribela y la verdad ami si me funciona 😌🤗 y puede pasar 3 dias o una semana porque me lavo el cabello todos los sabados y n se me ve feo...,1634146193,2021-10-13 12:29:53,satisfaccion,148,33,neutral
"Por más video ""informativo"", veo muchos testimonios positivos, a mi me va de maravilla lo uso dos años 🥰",1634093589,2021-10-12 21:53:09,satisfaccion,104,19,positive
"realmente este video es mentira, ya que yo tengo el cabello hasta decolorado y me crece y siempre está suave y brillante",1633902447,2021-10-10 16:47:27,satisfaccion,120,22,neutral
Es súper buena alo mejor no te funciono a ti a mi en lo particular me encanta y la recomiendo 😌😌😌😌😌,1633907194,2021-10-10 18:06:34,satisfaccion,99,21,positive
"el problema no es usarlo, solo no hay que abusar de él, no hay que aplicarlo tan seguido como ellos dicen, una vez cada dos semanas está bien +",1635397102,2021-10-27 23:58:22,queja,143,29,neutral
súper amooo cuando das está info estoy en proceso de recuperar mi cabello no uso tu método pero me ah ayudado muchísimo toda la info Dios te bendiga🥰,1633905783,2021-10-10 17:43:03,satisfaccion,149,28,positive
Muy buenas experiencias pero y yo?? Porque me estoy quedando calva 😭,1743995862,2025-04-06 22:17:42,consulta,68,12,neutral
yo lo uso hace 2años y a mi no se me maltrato Haci mi pelo como tú dices,1633900324,2021-10-10 16:12:04,testimonio,72,18,neutral
"Jajaja hablas que lean y que solo informas, pero recomiendas productos que tambien contaminan 😬 osea",1633901735,2021-10-10 16:35:35,consulta,101,16,neutral
"Jajaja hablas que lean y que solo informas, pero recomiendas productos que tambien contaminan 😬 osea",1633901735,2021-10-10 16:35:35,consulta,101,16,neutral
Muy buenas experiencias pero y yo?? Porque me estoy quedando calva 😭,1743995862,2025-04-06 22:17:42,confusion,68,12,neutral
yo lo uso hace 2años y a mi no se me maltrato Haci mi pelo como tú dices,1633900324,2021-10-10 16:12:04,testimonio,72,18,neutral
recomiendas savital? tanto el shampoo como acondicionador?,1639414450,2021-12-13 11:54:10,consulta,58,7,neutral
Que shampoo del super puedo usar si tengo keratina?,1633892138,2021-10-10 13:55:38,consulta,51,9,neutral
Yo amo este producto! La verdad me hace creer el cabello!! De echo me salió mi cabello de antes churon!!,1634184010,2021-10-13 23:00:10,sorpresa,106,20,neutral
Todos los cabellos son distintos...yo lo uso ya 2 años y buenisimo.. Lo amo ✨,1740071062,2025-02-20 12:04:22,satisfaccion,78,15,positive
solo dicen lo malo y nunca lo bueno o un producto que si funcione,1633903556,2021-10-10 17:05:56,satisfaccion,65,14,neutral
"Hola podrías hacer un video de shampos de supermercado que si sean buenos,gracias 🥰",1634129700,2021-10-13 07:55:00,consulta,83,14,positive
Cuándo puedes recomendar los acondicionadores que no le hacen daño a tu cabello?,1633920796,2021-10-10 21:53:16,consulta,80,13,neutral
"A mí si me funcionó, súper bien, hoy por hoy lo cambié a aceites naturales por la regla de no utilizar un producto químico por más de un mes 🥰",1633899507,2021-10-10 15:58:27,testimonio,142,30,positive
"yo lo estuve usando un tiempo y el cabello se me resecó muchísimo, el primer día lo deja bellísimo es cierto, pero ya luego no y cada vez que +",1634065329,2021-10-12 14:02:09,decepcion,143,30,neutral
a mí no me pasa eso,1633895716,2021-10-10 14:55:16,sorpresa,19,6,neutral
La nutribela es lo mejor,1639415776,2021-12-13 12:16:16,testimonio,24,5,neutral
seguro quiere vender algún producto de ella y esta en su derecho siempre y cuando no hable mal de la competencia eso habla mucho de una persona,1633902014,2021-10-10 16:40:14,satisfaccion,143,27,neutral
Ami si me paso se me caía a montones y todo mi cabello reventado!! Ahora uso garnier 😌,1633899978,2021-10-10 16:06:18,sorpresa,86,18,positive
Llevo 4 años usando nutribela 🤦‍♀️,1633904973,2021-10-10 17:29:33,testimonio,34,6,negative
es que la nutribella se usa una vez por semana no todos los dias,1700674700,2023-11-22 12:38:20,testimonio,64,14,neutral
yo usaba la Nutribela se aplica en el cabello seco pero no,1734210977,2024-12-14 16:16:17,testimonio,58,12,neutral
Creo que es lo mejor del mundo 😬 a mi me funciona muchísimo!!!!!,1639454938,2021-12-13 23:08:58,testimonio,65,13,positive
A mi casi me deja calva 😭😭😭 se me cayó full el cabello,1726205292,2024-09-13 00:28:12,frustracion,54,13,neutral
soy maestra de la rama de la belleza y tu cabello no está muy sano tienes frizz y la nutribela es muy buena ahí personas que no les asienta pero esx +,1634250975,2021-10-14 17:36:15,satisfaccion,150,32,neutral
"Lo lamento por ti, pero para mi cabello ha sido una bendición NUTRIBELA, la mascarilla es lo máximo lo llevo usando más de 5 años, ahora estoy usando el shampoo y ha sido lo máximo",1746111947,2025-05-01 10:05:47,frustracion,183,35,neutral
y porque hace el vídeo sin dar la cara?,1746286116,2025-05-03 10:28:36,frustracion,39,9,neutral
La verdad yo gasté bastante en productos y ninguno me funcionaba :( me dejaba feo el pelo y se me caía pero con este por emergencia lo compré y lo amo 💜 mi pelo ya de risa natural y se ve hermoso,1722632783,2024-08-02 16:06:23,frustracion,195,42,neutral
yo los uso hace 3 meses y realmente lo amoooo me mejoro muchísimo el cabello,1728698818,2024-10-11 21:06:58,satisfaccion,76,15,neutral
A mí me encanta ❤️❤️,1717090411,2024-05-30 12:33:31,satisfaccion,20,5,positive
"Después que me decoloré el cabello me quedó horrible, estaba chicloso no podía ni peinarme, hasta que usé pantene mascarilla intensiva🥰🥰",1635128178,2021-10-24 21:16:18,testimonio,136,21,neutral
"yo lo uso y no me paso eso, todo lo contrario! mi cabello mejoro mucho",1716207807,2024-05-20 07:23:27,satisfaccion,70,15,neutral
amiga gracias por informarnos🥰 yo lo llevo usando 1 año y medio y más el tinte que uso debería tenerlo dañado pero creeme que no 😳,1633929206,2021-10-11 00:13:26,satisfaccion,130,26,positive
"Yo tenia el cabello muy dañado y ningún tratamiento me dejaba el cabello lindo, así que comencé a usar el termoprotección y a veces el repolizador y me va muy bien! lo recomiendo ☺️",1722809739,2024-08-04 17:15:39,satisfaccion,181,34,positive
siempre existe persona envidiosas son excelentes productos,1724531485,2024-08-24 15:31:25,testimonio,58,7,neutral
Entonces cuál recomiendas?,1717464426,2024-06-03 20:27:06,consulta,26,3,neutral
Entonces cual recomiendas???,1635823901,2021-11-01 22:31:41,consulta,28,3,neutral
Puedes recomendar productos para cabellos con mucho frizz fáciles de conseguir que no produzcan caspa porfa 👀,1633917335,2021-10-10 20:55:35,testimonio,109,17,neutral
🙄Recuerden nadie tiene el mismo cuero cabelludo... a mi me funciona bien 😊😊😊,1635104181,2021-10-24 14:36:21,queja,76,13,positive
el tratamiento es lo mejor.. me funciona.. y me deja el cabello increíble..,1635128174,2021-10-24 21:16:14,testimonio,75,13,neutral
"buscaba info sobre el producto basada en experiencias, me pasó exactamente eso! al principio excelente, hasta que se me comenzó a caer el cabello🥺",1661146608,2022-08-22 00:36:48,satisfaccion,147,24,positive
por favor recomiendame una mascarilla para cabello seco y maltratado pero esta natural nada de tintes,1641597241,2022-01-07 18:14:01,consulta,101,16,neutral
"la verdad yo tengo desde que salió el tratamiento usándolo, y me lo ha dejado súper, ahora compré los shampoo y me ha ido como nunca",1721827939,2024-07-24 08:32:19,testimonio,132,26,neutral
funciona de maravilla...a mi no me crecía el cabello usándolo me empezó a crecer..lo recomiendo muy bueno,1706276407,2024-01-26 08:40:07,satisfaccion,105,17,neutral
yo lo uso todos los días como acondicionador y no me ha pasado nada de lo q dices,1704506398,2024-01-05 20:59:58,testimonio,81,18,neutral
"Bueno peeero, necesitamos soluciones no problemas 😖",1700562404,2023-11-21 05:26:44,frustracion,51,7,neutral
comencé a usar la morada hace menos de un mes y traigo el cabello como chicle 😓 no pensé que fuera esa o que me baño 2 veces al día yo la compre por qué dicen que es buena,1746047957,2025-04-30 16:19:17,decepcion,171,39,neutral
A mi hija se le puso bonito y le cresio el cabello ahora lo usaré yo,1696472394,2023-10-04 21:19:54,satisfaccion,68,16,neutral
lo use y me dejo el pelo horrible 😟,1696442395,2023-10-04 12:59:55,frustracion,35,9,negative
Amiga a mi me funcionó demasiado.,1745991093,2025-04-30 00:31:33,satisfaccion,34,6,neutral
nutriela es la mejor ami arregló el cabello que me habían quemado x la permanente así que estas hablando tinterias😏,1635528092,2021-10-29 12:21:32,satisfaccion,115,20,neutral
que dices del DOVE?,1634251918,2021-10-14 17:51:58,testimonio,20,4,neutral
todos no tenemos el mismo cuero cabelludo. yo lo he usado siempre y nunca se me ha dañado el cabello. antes lo recomiendo.,1634176298,2021-10-13 20:51:38,testimonio,122,23,neutral
yo lo uso y es espectacular,1634073563,2021-10-12 16:19:23,testimonio,27,6,neutral
Yo uso nutribela bioqueratina y me encanta. Lo recomiendo 😅,1634009963,2021-10-11 22:39:23,testimonio,59,10,neutral
A mi me ha servido muchísimo,1633965300,2021-10-11 10:15:00,satisfaccion,28,6,neutral
"Por cuales productos o preparaciones podemos sustituirlo, que no sea tan caro 🥺",1633955374,2021-10-11 07:29:34,testimonio,79,13,neutral
"Confirmo🥺🥺 me dañó el cabello, claro que a todas no les funciona igual",1633921506,2021-10-10 22:05:06,frustracion,70,13,neutral
a la final!! habrá alguien lo suficientemente íntegra como para decir la verdad antes que mentir por publicidad??? siempre he tenido curiosidad!!!,1745806269,2025-04-27 21:11:09,satisfaccion,147,22,neutral
"mi hija, hermanas, primas y amigas me han hablado maravillas y lo han usado por lago tiempo, para mi hay interés particular por desacreditar la marca",1663781637,2022-09-21 12:33:57,satisfaccion,149,26,neutral
Es el mejor de muchos que he usado y mi cabello crece más rapido,1661987920,2022-08-31 18:18:40,satisfaccion,64,14,neutral
Yo era de la que defendía forever a nutribella 😅 vi este video la dejé de usar un tiempo y mi cabello se puso horriblemente,1661972117,2022-08-31 13:55:17,testimonio,123,25,neutral
A mi me cambio la vida tengo el cabello hermoso,1658810270,2022-07-25 23:37:50,satisfaccion,47,10,neutral
A mi me cambio la vida tengo el cabello hermoso,1658810270,2022-07-25 23:37:50,satisfaccion,47,10,neutral
a mi también me funcionó desde la 2da semana usándola mi cabello mejoró bastante 🥺,1657072415,2022-07-05 20:53:35,satisfaccion,82,15,neutral
todos dicen que la primera semana te va bien y en la segunda muy mal y hacia tirar el cabello y la verdad no a mi me va muy bien 👍,1745602023,2025-04-25 12:27:03,decepcion,130,31,neutral
"A TI NO PERO A MI SI ME AYUDO Y MUCHO A CRECER XK NO ME CRECIA NADAA, ASI QUE NO GENERALIZES QUE NO TE HAYA FUNCIONADO A TI NO SIGNIFICA Q,ALOSDEMANO",1645790396,2022-02-25 06:59:56,queja,149,32,neutral
"No sé aplica seguido, yo lo uso 1 vez al mes cuando empezó a sentir mi cabello en pausa, a demás al tener cuero graso, si se usa seguid se pone peor.",1745507146,2025-04-24 10:05:46,testimonio,149,32,neutral
creo que así como a unas puede hacerles bien a otras no ya que los cabellos son totalmente diferentes 🤷🏽‍♀..,1641653475,2022-01-08 09:51:15,testimonio,108,20,neutral
Puedes. Recomendar un producto para. Reparar el cabellp por favor,1641555864,2022-01-07 06:44:24,consulta,65,10,neutral
yo la uso desde hace como 6 meses y me ha encantado el resultado 🤔 creo q depende del cabello y de cada organismo 😅,1639022896,2021-12-08 23:08:16,testimonio,115,25,neutral
he usado cualquier cantidad de productos reconocidos y caros pero el nutribela es increíble,1637820771,2021-11-25 01:12:51,testimonio,91,14,neutral
Quiero compartir tu video en una pregunta de tiktok como hago,1637550360,2021-11-21 22:06:00,consulta,61,11,neutral
"A mi me funciona superr bienn, es más desde que lo uso mi cabello a mejorado bastante 🥰",1635663847,2021-10-31 02:04:07,satisfaccion,87,18,positive
a mi me va super bien y no se quiebra...es un producto increible. no se xq le haces mala fama..te sacaron de la empresa?,1635647720,2021-10-30 21:35:20,consulta,120,24,neutral
"los componente que colocaste son los mismos, o eso es lo que arroja Google pero no encuentro nada de malo en ello 🤷🏻‍♀️",1635645610,2021-10-30 21:00:10,testimonio,119,23,neutral
Nutribela es lo mejor que hay! El cambio a un cabello nutritivo es excelente!,1635482802,2021-10-28 23:46:42,testimonio,77,14,positive
😳😳😳😳😳😳 Que puedo usar?,1635266934,2021-10-26 11:48:54,testimonio,23,4,neutral
entonces que me recomiendas,1635137836,2021-10-24 23:57:16,consulta,27,4,neutral
yo uso la marroncita pero la anterior es mejor q la nueva pero igual a mi ningún tratamiento me arregla el cabello 😂😂😂😂,1635136213,2021-10-24 23:30:13,testimonio,119,23,neutral
yo voy usando 4 meses y mejoro mi cabello ya que yo la tengo tinturado amo NUTRIBELA ❤🤗,1635130280,2021-10-24 21:51:20,satisfaccion,87,18,positive
Con recomendarías tú sustituirlo???,1635119648,2021-10-24 18:54:08,consulta,36,4,neutral
"yo lo amaba y lo usé por varios años y comenzó a pasar lo q ella menciona, lo deje de usar y se ve como es realmente el cabello🥺☹️",1634444281,2021-10-16 23:18:01,frustracion,130,29,neutral
"Niñas solo deben aprende a conocer su cabello, cada producto funciona diferente, en mi caso me ha funcionado súper bien.",1634241346,2021-10-14 14:55:46,queja,120,20,neutral
entonces cual mascarilla me recomiendan para mi cabello 😳,1634170246,2021-10-13 19:10:46,consulta,57,9,neutral
Oooowww a mi me encanta nutribela La recomiendo al 100% Es la unica mascariillls que me deja el cabello manejable luego de una decoloracion,1634150124,2021-10-13 13:35:24,testimonio,139,24,neutral
"a mí sí me lo deja bien, así que no a todos les pasa",1634149103,2021-10-13 13:18:23,testimonio,52,14,neutral
Si tiene siliconas es un maquillaje amén 🥺,1634142838,2021-10-13 11:33:58,testimonio,42,8,neutral
es súper bueno a mí me funciona🥰,1634127302,2021-10-13 07:15:02,queja,32,7,positive
Entonces cual me recomiendas...,1634097262,2021-10-12 22:54:22,consulta,31,4,neutral
Bio cress10 que tal será?,1634039743,2021-10-12 06:55:43,consulta,25,5,neutral
"Cuanta razón a mi me paso, ahora uso una profesional 🥰",1634017952,2021-10-12 00:52:32,testimonio,55,11,positive
INVESTIGUEN NO PORQUE LES HAGA BIEN QUIERE DECIR QUE SEA SANO,1633961591,2021-10-11 09:13:11,satisfaccion,61,11,neutral
"Nopi, la verdad me ha funcionado excelente 🥰 lo uso luego del shampoo milagros y maravillosos resultados",1633957416,2021-10-11 08:03:36,testimonio,104,17,positive
Y Pantene?,1633925542,2021-10-10 23:12:22,testimonio,10,2,neutral
"es como si ""maquillaras"" tu cabello😳",1633923537,2021-10-10 22:38:57,sorpresa,36,6,neutral
"maui, creo que se escribe, ¿qué opinas?",1633921627,2021-10-10 22:07:07,testimonio,39,7,neutral
a mí me hizo pedazos el cabello..desde la 1ra vez,1633896727,2021-10-10 15:12:07,frustracion,50,10,neutral
"Yo me Decolore el pelo y me quedo seco opaco sin brillo, que me recomiendas soy de Perú 🥰",1633888398,2021-10-10 12:53:18,consulta,89,19,positive
entonces cuál recomiendas?,1745350358,2025-04-22 14:32:38,consulta,26,3,neutral
una consulta lo venderán acá en Chile?,1745285289,2025-04-21 20:28:09,consulta,39,7,neutral
¿Cómo se utilizan?,1745012834,2025-04-18 16:47:14,consulta,18,3,neutral
a mí me produce frizz 😔 no me funciona 😭,1744877936,2025-04-17 03:18:56,queja,40,10,negative
todos huelen como el morado o cada color es distinto,1744766917,2025-04-15 20:28:37,consulta,52,10,neutral
Yo lo super recomiendo pero como existen diferentes tipos de cabellos no se si te funcione pero a mi me super funciono 😘,1744470885,2025-04-12 10:14:45,satisfaccion,120,23,positive
Por que siempre que me compro un producto para mi cabello lo critican😭,1743822123,2025-04-04 22:02:03,frustracion,70,13,neutral
segun usted cual mascarilla recomienda entonces,1743273074,2025-03-29 13:31:14,testimonio,47,6,neutral
cual es el mejor de todos acabo de comprar el dorado de reparación.,1742953479,2025-03-25 20:44:39,consulta,67,13,neutral
mejor usen shapoo de johnsons,1742859549,2025-03-24 18:39:09,satisfaccion,29,5,neutral
mi niña cae bien 😍 buenísimo no cae mal,1742257407,2025-03-17 19:23:27,frustracion,39,9,positive
pues después de decolorante el cabello o e usado y lo seguiré usando por k es el k me lobareparado junto con el vinagre,1741973325,2025-03-14 12:28:45,testimonio,119,24,neutral
también es malo si solo la uso como pre shampoo?,1741901851,2025-03-13 16:37:31,consulta,48,10,neutral
llevo mucho tiempo usándola y tengo el cabello hermoso 🥰🥰🥰,1741788451,2025-03-12 09:07:31,satisfaccion,58,10,positive
No m harán Odiar las Mascarillas de Nutribella Jamás ❤️🥰Fue lo q m salvó el Cabello,1741537907,2025-03-09 11:31:47,consulta,83,16,positive
ami la vdd si me ha servido,1741481198,2025-03-08 19:46:38,testimonio,27,7,neutral
La acabo de comprar!! 🥺🥺🥺,1740999907,2025-03-03 06:05:07,consulta,26,5,positive
yoblo uaso por mas de un año y mi cabello mejoro mucho,1740800452,2025-02-28 22:40:52,testimonio,54,12,neutral
También depende de tu tipo de cabello y que tan poroso es 🤓☝️,1740433463,2025-02-24 16:44:23,testimonio,61,13,neutral
cada cuando se puede usar para no dañarlo??,1740258558,2025-02-22 16:09:18,testimonio,43,8,neutral
shombre. nutribela es lo mejor que le a pasado a mi pelo.,1739850862,2025-02-17 22:54:22,testimonio,57,12,neutral
a mi me gusta como deja el cabello y no la cambiaría....,1739772178,2025-02-17 01:02:58,testimonio,56,12,neutral
queda el cabello hermoso y ya tengo tiempo usasndo,1738886380,2025-02-06 18:59:40,testimonio,50,9,neutral
donde la puedo encontrar España?,1738615135,2025-02-03 15:38:55,consulta,32,5,neutral
Hola Hermosa que shampoo me recomiendas mi cabello en la raíz es graso las puntas secas y es ondulado necesito un buen shampoo gracias 🥰🥰🥰,1737668790,2025-01-23 16:46:30,consulta,138,25,positive
Yo tengo otro comentario yo utilice el amarillo de nutrición y mejoró bastante te mi cabello,1737364574,2025-01-20 04:16:14,testimonio,92,16,neutral
"A mi me ayudó más el nutribela, el de pantene solo le da aroma 💔",1737207820,2025-01-18 08:43:40,testimonio,64,15,neutral
Que shampoo Y acondicionador y mascarilla puedo usar Quiero para repararis puntas secas y abiertas y para controlar el friizz que me recomiendas 🙏💗,1736925185,2025-01-15 02:13:05,testimonio,147,24,positive
Ayy ya me la compré 😞,1736647496,2025-01-11 21:04:56,consulta,21,6,negative
Pero la mascarilla no se aplica de medios a puntas? Porque si se aplica en el cuero cabelludo si reseca,1736130516,2025-01-05 21:28:36,consulta,103,20,neutral
en mi experiencia debieron solo dejar la mascarilla ya que el shampoo y el acondicionador propicia la caída del cabello,1735923550,2025-01-03 11:59:10,testimonio,119,20,neutral
use nutribella morado en shampoo y me fregó la vida,1735851735,2025-01-02 16:02:15,testimonio,51,10,neutral
es lo mejor. me fasina,1735348129,2024-12-27 20:08:49,satisfaccion,22,5,neutral
alguna peliroja a usado nuribela??,1735243329,2024-12-26 15:02:09,consulta,35,5,neutral
a mi me funciona muy bien!,1735222205,2024-12-26 09:10:05,queja,27,6,neutral
mi cabello estaba poroso áspero nada moldeable y Ise el Nutribella y cambio mágicamente mi cabello mejoro se puso lindo suave y liso,1734738505,2024-12-20 18:48:25,testimonio,132,23,neutral
yo la usaba y tenía caída cambien skala se me freno la caída pero ahora que lo uso de nuevo se me está cayendo por montón,1732484056,2024-11-24 16:34:16,testimonio,121,26,neutral
"a pesar de ser económica, uno tener mercdoctenia,es muy buena 🥰",1732249054,2024-11-21 23:17:34,testimonio,64,11,positive
en especial yo usó Nutribela y es súper bien 👌,1732024530,2024-11-19 08:55:30,testimonio,46,10,positive
mejor que las de Garnier fruts que no me sirvieron de nadaaaa,1731703153,2024-11-15 15:39:13,consulta,61,12,neutral
"pero vamos a ver, si causa daños endocrinos, ¿Como puede ser eso? Si pone que te la tienes que echar de medios a puntas si no tocas la raíz pues no te absorbe la piel",1730432285,2024-10-31 22:38:05,sorpresa,166,35,neutral
que opinas de las mascarillas de saviltal,1729825104,2024-10-24 21:58:24,consulta,41,7,neutral
